Comuna,Clasificacion,Nombre,Ubicacion,Has.x.comuna,Observaciones,Otros
2,Plazoleta,Juan XXIII,"JUNÍN 1901, ORTIZ, ROBERTO M., GUIDO - QUINTANA, MANUEL, PRES., AV.",1.1634,NA,NA
2,Plazoleta,Julio de Caro,"POSADAS 1701, DEL LIBERTADOR, AV. - SCHIAFFINO, EDUARDO",0.859,NA,NA
2,Plaza,M. Mujica Lainez,"VICENTE LOPEZ 1901, VICENTE LÓPEZ Y JUNÍN",0.225,NA,NA
2,Plazoleta,Maimonides,"CORDOBA, AV. - URIBURU, JOSE E., PRES. - (HOSPITAL DE CLINICAS)",0.242,NA,NA
2,Plaza,Mitre Bartolome,"DEL LIBERTADOR 1501, AV. - AGOTE, LUIS - PROPIEDAD PARTICULAR - REPUBLICA DEL LIBANO - ARJONILLA - AGÜERO",1.968,NA,NA
2,Plazoleta,Orencio P. Rodriguez,"MANSILLA 2501, LUCIO NORBERTO, GRAL. - CHARCAS - ECUADOR",0.079,NA,Puesta en valor 2017/2018
2,Plazoleta,Petronila Rodriguez,"RODRIGUEZ PEÑA 851 - PARAGUAY - CAPDEVILA, ARTURO",0.203,NA,NA
2,Plaza,Ramon J. Carcano,"HAEDO 1901. QUINTANA , MANUEL, PRES., AV. - ORTIZ, ROBERTO M., PRES., AV. - ALVEAR, AV. - HAEDO, EDUARDO V., PRES.",0.235,NA,NA
2,Plazoleta,Reino de Tailandia,"LAS HERAS 2201 , AV. - PUEYRREDON, AV. - AGOTE, LUIS, DR. - LOPEZ, VICENTE",0.12,NA,NA
2,Plaza,Rep. del Paraguay,"LARREA 1501, BARRIENTOS - PEÑA - PACHECO DE MELO, JOSE A.",0.512,NA,NA
2,Plaza,Rep. Fed. de Brasil,"FIGUEROA ALCORTA, PRES., GONZALEZ, JULIO VICTOR (FACULTAD DE DERECHO) Y CEC (CENTRO DE EXPOSICIONES Y CONVENCIONES)",2.028,NA,NA
2,Plaza,Rep. Oriental del Uruguay,"AUSTRIA 2701, DEL LIBERTADOR, AV.- TAGLE - FIGUEROA ALCORTA, PRES., AV. - AUSTRIA",3.792,NA,NA
2,Plaza,Rodriguez Peña,"CALLAO 901, AV,- ALVEAR, MARCELO T. DE - RODRIGUEZ PEÑA - PARAGUAY",1.699,NA,NA
2,Plaza,Tte. Gral. Emilio Mitre,"LAS HERAS, GRAL., AV. - PUEYRREDON, AV. - PACHECO DE MELO, JOSE A. - CANTILO",1.226,NA,Puesta en valor 2017/2018
2,Plaza,V. Lopez y Planes,MONTEVIDEO 1301 - PARANA - ARENALES,1.914,NA,NA
2,Plazoleta,ATC,AV.figueroa Alcorta entre Brig GRAL.Juan Facundo QUIROGA Y Tagle,0.286,NA,NA
2,Parque ,S/D- Jae,Anchorena 1600,0.006,NA,NA
2,Cantero central,S/D - bibiloni 2851,"BIBILONI 2851, COUTURE, F. ALCORTA; LIBRES DEL SUR",0.1495,NA,NA
2,Plaza,Mons. Miguel de Andrea 'A',"CORDOBA 2801, AV. - JAURES, JEAN - ANCHORENA, TOMAS M. DE, DR. - PARAGUAY",1.181,Mejora en patio de juegos,Puesta en valor 2017/2018
2,Parque ,Parque Thays,"DEL LIBERTADOR, AV. - CALLAO, AV.- VAZ FERREIRA, CARLOS, DR. - QUIROGA, JUAN FACUNDO, BRIG. GRAL. VIA R PIDA",7.176,NA,NA
2,Plaza,Ruben Dario,"FIGUEROA ALCORTA 2301, AV,DEL LIBERTADOR, AV. - AUSTRIA, PRES., AV. -PUEYRREDON, AV",7.185,NA,NA
2,Plazoleta,San Martin de Tours,"POSADAS 1665, ALVEAR, AV. - SCHIAFFINO, EDUARDO",0.9278,NA,NA
3,JARDIN,Catamarca 1351,Catamarca 1351,0.015,NA,NA
3,PLAZOLETA,"Cirullo de Carnaghi, Rosa","ALBERTI, VEREDA PAR ENTRE COCHABAMBA Y SUBIDA  AU 25 DE MAYO",0.0175,NA,NA
3,PLAZOLETA,De las Madres,"GARAY, JUAN DE, AV. - COMBATE DE LOS POZOS - ENTRE RIOS, AV.",0.011,NA,Puesta en valor 2017/2018
3,PLAZOLETA,Delia Aviles de Elizalde,COCHABAMBA e/ PASCO  y PICHINCHA,0.114,NA,NA
3,PLAZOLETA,"Dr. Alfredo, Rivas","CHICLANA, AV.  - LUCA, ESTEBAN DE - PAVON",0.028,NA,Puesta en valor 2017/2018
3,PLAZOLETA,Plaza Dr. J. M. Velasco Ibarra,"JUJUY, Av y MÉXICO",0.811,Mejora en patio de juegos,Puesta en valor 2017/2018
3,PLAZA,Esther Ballestrino Careag,ALBERTI 1323,0.009,NA,NA
3,PLAZOLETA,Francisco Canaro,COCHABAMBA - COMBATE DE LOS POZOS - SARANDI,0.21,NA,NA
3,PLAZOLETA,Maria Ponce De Bianco,"SARANDI - ESTACION DE SERVICIOS -  COMBATE DE LOS POZOS - JENNER, EDUARDO, DR. -",0.007,NA,NA
